                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0148,                0.79008,                 1.0612,                0.85347,                0.61508,                0.76762,                0.55738,                 1.2449,                 1.2642,                 1.1218,                0.09703,                  3e-05,                  3e-05
                      1,                 1.0979,                0.83356,                 1.0307,                0.83055,                0.59166,                0.73977,                0.50805,                 1.3334,                 1.3764,                 1.1875,                0.09307,             6.9653e-05,             6.9653e-05
                      2,                 1.0713,                0.84579,                 1.0598,                0.85753,                0.53836,                0.69598,                0.44169,                 1.5343,                 1.4586,                 1.2427,               0.089109,             0.00010891,             0.00010891
                      3,                 1.0496,                 0.7939,                 1.0563,                0.72396,                0.61508,                 0.7294,                0.46838,                  1.565,                  1.377,                 1.2005,               0.085148,             0.00014777,             0.00014777
                      4,                 1.0478,                0.81232,                 1.0297,                   0.83,                0.56614,                0.72123,                0.48319,                  1.467,                 1.3519,                 1.1599,               0.081186,             0.00018624,             0.00018624
                      5,                 1.0994,                0.85116,                 1.0531,                0.87755,                0.43783,                0.68809,                0.48791,                 1.4768,                 1.5224,                 1.1938,               0.077224,             0.00022431,             0.00022431
                      6,                 1.0306,                0.76992,                 1.0282,                0.90541,                0.38492,                0.66312,                0.49187,                 1.6311,                 1.9408,                 1.2479,               0.073262,             0.00026198,             0.00026198
                      7,                0.93585,                0.72012,                 1.0076,                 0.9375,                0.24206,                0.59422,                0.45244,                 1.8659,                 2.6566,                 1.3651,               0.069299,             0.00029926,             0.00029926
                      8,                0.99383,                0.73718,                 1.0221,                0.91304,                0.21164,                0.57517,                0.44894,                 1.7442,                 2.3941,                 1.2937,               0.065336,             0.00033614,             0.00033614
                      9,                0.98372,                 0.7384,                 1.0101,                0.97128,                0.23942,                0.60184,                0.50303,                 1.6922,                  2.185,                 1.2687,               0.061373,             0.00037263,             0.00037263
                     10,                0.98713,                0.72419,                 1.0123,                      1,                0.24206,                0.62102,                 0.4959,                  1.643,                 2.1817,                 1.2468,               0.057409,             0.00040872,             0.00040872
                     11,                0.97936,                0.73645,                 1.0193,                0.94286,                0.40608,                0.68864,                0.51743,                 1.4602,                 1.6744,                 1.1825,               0.053444,             0.00044441,             0.00044441
                     12,                0.90432,                0.69001,                 1.0115,                0.89375,                0.49339,                 0.7127,                0.51654,                 1.4899,                 1.5737,                  1.155,                0.04948,             0.00047971,             0.00047971
                     13,                0.96785,                0.73855,                 1.0146,                0.91489,                0.55159,                 0.7489,                 0.5037,                 1.4587,                 1.4733,                 1.1275,               0.045515,             0.00051461,             0.00051461
                     14,                   0.97,                0.70877,                 1.0311,                0.91304,                0.55423,                0.74764,                0.51606,                 1.4193,                 1.5154,                 1.1359,               0.041549,             0.00054911,             0.00054911
                     15,                 0.9365,                 0.7029,                 1.0081,                0.93939,                0.45899,                0.70706,                 0.5053,                 1.4446,                 1.6367,                 1.1596,               0.037583,             0.00058322,             0.00058322
                     16,                0.87706,                0.66461,                0.97363,                0.92006,                0.59921,                0.77148,                 0.5298,                 1.3751,                 1.5162,                 1.1336,               0.033617,             0.00061694,             0.00061694
                     17,                0.89075,                0.67145,                0.97709,                0.88879,                0.64153,                0.78662,                0.55292,                  1.298,                 1.3802,                 1.1039,                0.02965,             0.00065025,             0.00065025
                     18,                0.86554,                0.65074,                0.97107,                 0.9059,                0.63328,                0.78675,                0.56514,                 1.3029,                 1.3737,                 1.0998,               0.025683,             0.00068318,             0.00068318
                     19,                0.87556,                0.66743,                0.99231,                0.94286,                0.58466,                0.77592,                0.57859,                 1.3416,                 1.4737,                 1.1063,               0.021716,              0.0007157,              0.0007157
                     20,                0.88474,                0.64568,                0.98469,                 0.9697,                0.58466,                0.78384,                0.57898,                   1.35,                 1.3859,                 1.1048,               0.017748,             0.00074783,             0.00074783
                     21,                0.88205,                 0.6389,                0.97834,                0.96667,                0.54497,                0.76277,                0.55503,                 1.3923,                 1.4738,                 1.0994,                0.01378,             0.00077956,             0.00077956
                     22,                0.88675,                0.64357,                0.99469,                      1,                0.52381,                0.76189,                0.59686,                 1.3106,                 1.5053,                 1.0922,              0.0098109,              0.0008109,              0.0008109
                     23,                0.85389,                0.62096,                0.96393,                0.97727,                0.47222,                0.72985,                0.57725,                 1.2792,                 1.5857,                 1.0955,              0.0058418,             0.00084184,             0.00084184
                     24,                  0.887,                0.65654,                0.98038,                0.96552,                0.52381,                 0.7509,                0.56776,                 1.2836,                 1.4991,                 1.0763,              0.0018724,             0.00087239,             0.00087239
