                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4001,                 1.2376,                  1.357,                      0,                      0,                      0,                      0,                 4.0187,                 5.0535,                 2.8367,                0.08515,                0.00015,                0.00015
                      1,                 1.1438,                 0.9239,                 1.1891,                      1,                 0.0582,                0.52909,                 0.2382,                  2.765,                 3.7982,                  2.215,               0.069308,             0.00030847,             0.00030847
                      2,                0.92821,                0.75632,                 1.0783,                0.72853,                0.55291,                0.65666,                0.36384,                 1.8865,                 1.6446,                 1.5776,               0.053465,             0.00046535,             0.00046535
                      3,                 0.9423,                0.74118,                 1.0913,                0.74503,                0.57937,                0.70911,                0.45531,                 1.5809,                 1.3063,                 1.3295,               0.037621,             0.00062064,             0.00062064
                      4,                0.97194,                0.73737,                 1.0658,                0.84005,                0.64901,                 0.7892,                0.51159,                 1.3521,                 1.0627,                 1.1794,               0.021774,             0.00077436,             0.00077436
                      5,                0.90108,                0.66095,                   1.05,                0.90345,                0.71429,                0.83516,                0.57688,                 1.3911,                 1.0743,                 1.2178,              0.0059265,             0.00092649,             0.00092649
                      6,                0.95166,                0.69233,                 1.0912,                  0.925,                0.61243,                 0.7901,                0.58072,                 1.2729,                 1.1466,                  1.208,              0.0009703,              0.0009703,              0.0009703
                      7,                0.95942,                0.70403,                  1.044,                    0.9,                0.57143,                 0.7556,                0.51001,                 1.3439,                 1.3138,                 1.1983,              0.0009703,              0.0009703,              0.0009703
                      8,                0.94645,                0.70077,                 1.0844,                0.79275,                0.70106,                0.78427,                0.51762,                 1.3874,                 1.2057,                 1.2062,             0.00096535,             0.00096535,             0.00096535
                      9,                0.91327,                0.68584,                 1.0712,                0.72684,                0.71343,                0.78434,                0.54025,                 1.1739,                 1.0868,                 1.1381,              0.0009604,              0.0009604,              0.0009604
                     10,                0.87045,                0.65757,                 1.0434,                0.72784,                0.75529,                0.81125,                0.56567,                 1.0727,                 1.0759,                   1.13,             0.00095545,             0.00095545,             0.00095545
                     11,                0.86909,                0.64151,                 1.0375,                0.82595,                  0.705,                0.81398,                0.57644,                 1.0936,                  1.104,                 1.1027,              0.0009505,              0.0009505,              0.0009505
                     12,                0.89789,                0.63498,                 1.0456,                0.90183,                0.74805,                 0.8463,                0.58071,                 1.1413,                 1.0334,                 1.1059,             0.00094555,             0.00094555,             0.00094555
                     13,                0.84446,                0.60888,                 1.0134,                0.86588,                0.75794,                0.84866,                0.59682,                 1.1133,                      1,                 1.0879,              0.0009406,              0.0009406,              0.0009406
